"N","J","Distribution","Response","Alpha.mean","Alpha.sd","Omega.mean","Omega.sd"
 300,10,"heavy","extreme",0.901492689,0.026881319,0.902542253,0.026426043
 400,10,"heavy","extreme",0.903976557,0.024861991,0.904906748,0.024554965
 500,10,"heavy","extreme",0.902745399,0.026543135,0.903626348,0.026279747
 800,10,"heavy","extreme",0.902320806,0.020084479,0.903163249,0.019743640
1000,10,"heavy","extreme",0.893379638,0.015020670,0.894321350,0.014721351
2000,10,"heavy","extreme",0.901077497,0.016016313,0.901773387,0.015800367
3000,10,"heavy","extreme",0.901705548,0.016421969,0.902441908,0.016274369
4000,10,"heavy","extreme",0.902131566,0.013755606,0.902927656,0.013531393
5000,10,"heavy","extreme",0.904839263,0.010621376,0.905503695,0.010485349
  30,20,"heavy","extreme",0.929458144,0.032881158,0.931624590,0.031855640
  50,20,"heavy","extreme",0.935912924,0.032180265,0.937418436,0.031528706
 100,20,"heavy","extreme",0.945365553,0.015728792,0.946218323,0.015352197
 200,20,"heavy","extreme",0.943544692,0.015209057,0.944238225,0.014878051
 300,20,"heavy","extreme",0.940172342,0.012281995,0.940861483,0.012050880
 400,20,"heavy","extreme",0.947736023,0.016677013,0.948265576,0.016428959
 500,20,"heavy","extreme",0.941759188,0.012139553,0.942339679,0.011939699
 800,20,"heavy","extreme",0.946792406,0.011976264,0.947270171,0.011755986
1000,20,"heavy","extreme",0.947122225,0.008843723,0.947541881,0.008718641
2000,20,"heavy","extreme",0.948325643,0.008319411,0.948697350,0.008200681
3000,20,"heavy","extreme",0.948864380,0.007803982,0.949251185,0.007665725
4000,20,"heavy","extreme",0.947517378,0.005992878,0.947877582,0.005923368
5000,20,"heavy","extreme",0.948856653,0.007830723,0.949226010,0.007735949
  10, 3,"normal","extreme",0.666345277,0.221772445,0.746063698,0.149124063
  30, 3,"normal","extreme",0.694693391,0.128023337,0.726936893,0.098681471
  50, 3,"normal","extreme",0.720343866,0.097307904,0.733045541,0.091553211
 100, 3,"normal","extreme",0.736066721,0.053043255,0.743070119,0.052540350
 200, 3,"normal","extreme",0.740003639,0.053399224,0.744196279,0.052301570
 300, 3,"normal","extreme",0.735767956,0.046413777,0.739275933,0.045852910
 400, 3,"normal","extreme",0.747563660,0.039130824,0.750959814,0.038298112
 500, 3,"normal","extreme",0.740976757,0.038490649,0.743602379,0.038313430
 800, 3,"normal","extreme",0.743265881,0.031956560,0.746086715,0.031496396
1000, 3,"normal","extreme",0.733840178,0.041042053,0.735924754,0.040983355
2000, 3,"normal","extreme",0.733388471,0.039190964,0.735541979,0.038757545
3000, 3,"normal","extreme",0.740502935,0.040165574,0.742245731,0.039969527
4000, 3,"normal","extreme",0.739565512,0.039133188,0.741562359,0.038822196
5000, 3,"normal","extreme",0.746921256,0.034011447,0.749006132,0.033458426
  30,10,"normal","extreme",0.906648170,0.027014362,0.909732273,0.025665764
  50,10,"normal","extreme",0.903229919,0.025441096,0.905555578,0.024566499
 100,10,"normal","extreme",0.909694759,0.019481782,0.910953730,0.019291245
 200,10,"normal","extreme",0.903631423,0.013376258,0.904642042,0.013260145
 300,10,"normal","extreme",0.905009262,0.012138476,0.905934254,0.011968219
 400,10,"normal","extreme",0.905910238,0.010974911,0.906710092,0.010885285
 500,10,"normal","extreme",0.904750044,0.011534374,0.905607009,0.011445505
 800,10,"normal","extreme",0.905362314,0.010538295,0.906104336,0.010474808
1000,10,"normal","extreme",0.904835765,0.010190835,0.905550505,0.010165398
